Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3526209;RMSP (exceto capital);Juquitiba;1833;87;;;
3526308;Interior;Lagoinha;246;16;;;
3526407;Interior;Laranjal Paulista;6380;144;;;
3526506;Interior;Lavínia;1605;21;;;
3526605;Interior;Lavrinhas;383;16;;;
3526704;Interior;Leme;22079;478;;;
3526803;Interior;Lençóis Paulista;25972;212;;;
3526902;Interior;Limeira;43896;1311;;;
3527009;Interior;Lindóia;2878;23;;;
3527108;Interior;Lins;14500;344;;;
3527207;Interior;Lorena;8052;284;;;
3527256;Interior;Lourdes;461;6;;;
3527306;Interior;Louveira;12297;131;;;
3527405;Interior;Lucélia;4616;82;;;
3527504;Interior;Lucianópolis;505;6;;;
3527603;Interior;Luís Antônio;3697;46;;;
3527702;Interior;Luiziânia;493;14;;;
3527801;Interior;Lupércio;278;8;;;
3527900;Interior;Lutécia;951;8;;;
3528007;Interior;Macatuba;5384;63;;;
3528106;Interior;Macaubal;1904;25;;;
3528205;Interior;Macedônia;1165;32;;;
3528304;Interior;Magda;860;12;;;
3528403;Interior;Mairinque;5301;92;;;
3528502;RMSP (exceto capital);Mairiporã;7611;290;;;
3528601;Interior;Manduri;998;32;;;
3528700;Interior;Marabá Paulista;915;6;;;
3528809;Interior;Maracaí;3546;57;;;
3528858;Interior;Marapoama;1220;15;;;
3528908;Interior;Mariápolis;1260;13;;;
3529005;Interior;Marília;43274;1179;;;
3529104;Interior;Marinópolis;772;7;;;
3529203;Interior;Martinópolis;2623;103;;;
3529302;Interior;Matão;7593;239;;;
3529401;RMSP (exceto capital);Mauá;37823;1701;;;
3529500;Interior;Mendonça;2211;34;;;
3529609;Interior;Meridiano;649;40;;;
3529658;Interior;Mesópolis;722;6;;;
3529708;Interior;Miguelópolis;1539;107;;;
3529807;Interior;Mineiros do Tietê;2476;35;;;
3529906;Interior;Miracatu;3668;86;;;
3530003;Interior;Mira Estrela;611;16;;;
3530102;Interior;Mirandópolis;2301;120;;;
3530201;Interior;Mirante do Paranapanema;2916;53;;;
3530300;Interior;Mirassol;10581;329;;;
3530409;Interior;Mirassolândia;784;21;;;
3530508;Interior;Mococa;15064;298;;;
3530607;RMSP (exceto capital);Mogi das Cruzes;54604;1914;;;
3530706;Interior;Mogi Guaçu;39757;719;;;
3530805;Interior;Mogi Mirim;26322;433;;;
3530904;Interior;Mombuca;471;11;;;
3531001;Interior;Monções;575;8;;;
3531100;Interior;Mongaguá;3089;114;;;
3531209;Interior;Monte Alegre do Sul;1783;24;;;
3531308;Interior;Monte Alto;11083;226;;;
3531407;Interior;Monte Aprazível;4970;123;;;
3531506;Interior;Monte Azul Paulista;2395;31;;;
3531605;Interior;Monte Castelo;1626;24;;;
3531704;Interior;Monteiro Lobato;327;13;;;
3531803;Interior;Monte Mor;8467;177;;;
3531902;Interior;Morro Agudo;6131;115;;;
3532009;Interior;Morungaba;1091;41;;;
3532058;Interior;Motuca;378;11;;;
3532108;Interior;Murutinga do Sul;1179;22;;;
3532157;Interior;Nantes;263;9;;;
3532207;Interior;Narandiba;1910;25;;;
3532306;Interior;Natividade da Serra;254;15;;;
3532405;Interior;Nazaré Paulista;3054;71;;;
3532504;Interior;Neves Paulista;2697;66;;;
3532603;Interior;Nhandeara;3293;59;;;
3532702;Interior;Nipoã;534;19;;;
3532801;Interior;Nova Aliança;1574;35;;;
3532827;Interior;Nova Campina;1201;46;;;
3532843;Interior;Nova Canaã Paulista;830;10;;;
3532868;Interior;Nova Castilho;323;4;;;
3532900;Interior;Nova Europa;875;31;;;
3533007;Interior;Nova Granada;6524;89;;;
3533106;Interior;Nova Guataporanga;173;5;;;
3533205;Interior;Nova Independência;1718;8;;;
3533254;Interior;Novais;319;19;;;
3533304;Interior;Nova Luzitânia;397;15;;;
3533403;Interior;Nova Odessa;11295;284;;;
3533502;Interior;Novo Horizonte;6296;244;;;
3533601;Interior;Nuporanga;424;15;;;
3533700;Interior;Ocauçu;952;9;;;
3533809;Interior;Óleo;162;6;;;
3533908;Interior;Olímpia;15373;318;;;
3534005;Interior;Onda Verde;961;29;;;
3534104;Interior;Oriente;442;29;;;
3534203;Interior;Orindiúva;2455;20;;;
3534302;Interior;Orlândia;8364;132;;;
3534401;RMSP (exceto capital);Osasco;49118;3168;;;
3534500;Interior;Oscar Bressane;731;10;;;
3534609;Interior;Osvaldo Cruz;10109;142;;;
3534708;Interior;Ourinhos;27467;599;;;
3534757;Interior;Ouroeste;3058;53;;;
3534807;Interior;Ouro Verde;1148;40;;;
3534906;Interior;Pacaembu;3878;57;;;
3535002;Interior;Palestina;2738;51;;;
